"LT187987LL",1
"LT166493RM",1
"LT109321RL",1
"LT104717LL",1
"LT185066RL",1
"LT291578RU",2
"LT075094LU",2
"LT051568RU",2
"LT194990RU",2
"LT132314LI",3
"LT030041RU",1
"LT125775RL",3
"LT055745RU",2
"LT148286LL",2
"LT219681RL",2
"LT009615LU",3
"LT132625RU",3
"LT106997RU",3
"LT265199LU",2
"LT282467LL",2
"LT152979LL",1
"LT010491LL",2
"LT235584LU",3
"LT023631RU",2
"LT262496LU",3
"LT126571RU",3
"LT056627RU",1
"LT100984RL",2
"LT168219RL",1
"LT092669LU",1
"LT010012LU",2
"LT113077LL",3
"LT178307RU",2
"LT042988LU",2
"LT003990RU",2
"LT242420LU",3
"LT137431RL",1
"LT231373LU",1
"LT046027RL",2
"LT211728RU",3
"LT157253RL",1
"LT024952RU",2
"LT058156LU",2
"LT145086RU",2
"LT294945LU",3
"LT135390LL",3
"LT045346RU",3
"LT163513RL",2
"LT109097LL",1
"LT155982RU",2
"LT131432RU",2
"LT059975LU",2
"LT156171LL",3
"LT001600RL",1
"LT245084RU",3
"LT275526RU",1
"LT175399RU",1
"LT173946RL",3
"LT156481LL",2
"LT130350RU",2
"LT038591LU",1
"LT093297LU",2
"LT105618RL",2
"LT025997RU",1
"LT046539RL",1
"LT286056RU",2
"LT020426LU",2
"LT195011RL",1
"LT002501RL",3
"LT081077RU",3
"LT000216LL",1
"LT004173LL",1
"LT139649RU",2
"LT081282RM",3
"LT084406RU",2
"LT192758RU",3
"LT287158LU",1
"LT241811LL",2
"LT233620RU",2
"LT140046RU",2
"LT236045LL",1
"LT056301LL",1
"LT280560LU",2
"LT207073RU",1
"LT191020LI",2
"LT030662LL",2
"LT009099RL",2
"LT147610LL",3
"LT089723LL",2
"LT082461RL",1
"LT151920RL",2
"LT115840LL",2
"LT279828RU",1
"LT162479RU",2
"LT244399LU",3
"LT051993RU",2
"LT191675RL",1
"LT266817LL",1
"LT198741LU",2
"LT245983LU",2
"LT269763RL",1
"LT263636RU",2
"LT238531RU",2
"LT155318RL",1
"LT058319LU",2
"LT143944LL",1
"LT185970RL",3
"LT126767LL",3
"LT013011LU",2
"LT113005RU",1
"LT181845RU",2
"LT166240RM",2
"LT099879RL",1
"LT017495RL",3
"LT231101RL",3
"LT178929RL",3
"LT038075LL",2
"LT080750LL",1
"LT221510LU",2
"LT002410RM",3
"LT175949LL",2
"LT190870RU",2
"LT150340LU",3
"LT121928RL",1
"LT060406RL",2
"LT077264RU",1
"LT136415RU",2
"LT026534RL",3
"LT282562RM",2
"LT286300LU",2
"LT284144LU",2
"LT055841LL",1
"LT053283RU",2
"LT142159RU",2
"LT154455RU",1
"LT167891LU",3
"LT043343LU",2
"LT048637LL",1
"LT166565RU",2
"LT127070RL",2
"LT184347RU",2
"LT253677RL",1
"LT036383LL",1
"LT295133LL",1
"LT106561LL",1
"LT256221LL",2
"LT172093RL",2
"LT180102RL",3
"LT196199RU",2
"LT000379LU",1
"LT058691LU",2
"LT130546RU",3
"LT206871LU",3
"LT096430LU",2
"LT144462RU",2
"LT047152LL",1
"LT109231RU",2
"LT173597LL",2
"LT285906LL",2
"LT075462RU",2
"LT016556LU",2
"LT171097RL",2
"LT297451LU",2
"LT120371LL",3
"LT076421LL",3
"LT285671LU",3
"LT076617LL",3
"LT236519LL",3
"LT012861RU",2
"LT196309RL",3
"LT006946RM",2
"LT007392RU",1
"LT005419RU",3
"LT206010LU",2
"LT078347LL",2
"LT213352LU",2
"LT277811RL",1
"LT071706RL",1
"LT141224LL",3
"LT248906LL",1
"LT197511LU",2
"LT242161RL",3
"LT106519RL",3
"LT0249481LU",3
"LT150981RU",2
"LT180758RM",1
"LT076181LI",1
"LT062121LL",1
"LT037710RU",2
"LT246994RU",3
"LT165114RU",1
"LT288719RL",3
"LT280646RU",2
"LT012933RL",3
"LT032411RU",2
"LT087826LL",1
"LT118064RL",3
"LT125521LL",1
"LT062141RL",2
"LT030151RU",2
"LT119682RL",2
"LT273284LL",3
"LT233821RL",1
