"LT187987LL",1
"LT166493RM",1
"LT109321RL",1
"LT104717LL",2
"LT185066RL",2
"LT291578RU",3
"LT075094LU",4
"LT051568RU",4
"LT194990RU",4
"LT132314LI",5
"LT030041RU",6
"LT125775RL",5
"LT055745RU",3
"LT148286LL",4
"LT219681RL",4
"LT009615LU",5
"LT132625RU",7
"LT106997RU",5
"LT265199LU",3
"LT282467LL",4
"LT152979LL",2
"LT010491LL",4
"LT235584LU",5
"LT023631RU",4
"LT262496LU",5
"LT126571RU",5
"LT056627RU",6
"LT100984RL",3
"LT168219RL",2
"LT092669LU",6
"LT010012LU",3
"LT113077LL",5
"LT178307RU",4
"LT042988LU",7
"LT003990RU",4
"LT242420LU",7
"LT137431RL",1
"LT231373LU",1
"LT046027RL",4
"LT211728RU",7
"LT157253RL",1
"LT024952RU",7
"LT058156LU",3
"LT145086RU",4
"LT294945LU",7
"LT135390LL",5
"LT045346RU",3
"LT163513RL",4
"LT109097LL",2
"LT155982RU",4
"LT131432RU",4
"LT059975LU",7
"LT156171LL",6
"LT001600RL",2
"LT245084RU",5
"LT275526RU",1
"LT175399RU",6
"LT173946RL",5
"LT156481LL",3
"LT130350RU",3
"LT038591LU",2
"LT093297LU",4
"LT105618RL",3
"LT025997RU",2
"LT046539RL",1
"LT286056RU",3
"LT020426LU",4
"LT195011RL",1
"LT002501RL",7
"LT081077RU",5
"LT000216LL",2
"LT004173LL",1
"LT139649RU",7
"LT081282RM",7
"LT084406RU",4
"LT192758RU",7
"LT287158LU",6
"LT241811LL",7
"LT233620RU",7
"LT140046RU",4
"LT236045LL",6
"LT056301LL",2
"LT280560LU",7
"LT207073RU",6
"LT191020LI",4
"LT030662LL",4
"LT009099RL",4
"LT147610LL",5
"LT089723LL",4
"LT082461RL",1
"LT151920RL",3
"LT115840LL",4
"LT279828RU",6
"LT162479RU",4
"LT244399LU",5
"LT051993RU",7
"LT191675RL",6
"LT266817LL",6
"LT198741LU",4
"LT245983LU",3
"LT269763RL",6
"LT263636RU",7
"LT238531RU",4
"LT155318RL",1
"LT058319LU",4
"LT143944LL",6
"LT185970RL",5
"LT126767LL",8
"LT013011LU",4
"LT113005RU",2
"LT181845RU",7
"LT166240RM",4
"LT099879RL",2
"LT017495RL",3
"LT231101RL",5
"LT178929RL",5
"LT038075LL",4
"LT080750LL",1
"LT221510LU",3
"LT002410RM",5
"LT175949LL",7
"LT190870RU",4
"LT150340LU",5
"LT121928RL",1
"LT060406RL",4
"LT077264RU",6
"LT136415RU",3
"LT026534RL",5
"LT282562RM",4
"LT286300LU",4
"LT284144LU",3
"LT055841LL",1
"LT053283RU",4
"LT142159RU",4
"LT154455RU",2
"LT167891LU",5
"LT043343LU",4
"LT048637LL",1
"LT166565RU",3
"LT127070RL",4
"LT184347RU",3
"LT253677RL",2
"LT036383LL",2
"LT295133LL",1
"LT106561LL",6
"LT256221LL",7
"LT172093RL",7
"LT180102RL",5
"LT196199RU",3
"LT000379LU",2
"LT058691LU",3
"LT130546RU",8
"LT206871LU",5
"LT096430LU",4
"LT144462RU",4
"LT047152LL",1
"LT109231RU",7
"LT173597LL",7
"LT285906LL",4
"LT075462RU",4
"LT016556LU",4
"LT171097RL",4
"LT297451LU",4
"LT120371LL",5
"LT076421LL",5
"LT285671LU",5
"LT076617LL",5
"LT236519LL",6
"LT012861RU",4
"LT196309RL",5
"LT006946RM",4
"LT007392RU",6
"LT005419RU",5
"LT206010LU",4
"LT078347LL",4
"LT213352LU",4
"LT277811RL",6
"LT071706RL",1
"LT141224LL",5
"LT248906LL",1
"LT197511LU",7
"LT242161RL",5
"LT106519RL",5
"LT0249481LU",5
"LT150981RU",4
"LT180758RM",6
"LT076181LI",2
"LT062121LL",2
"LT037710RU",7
"LT246994RU",5
"LT165114RU",2
"LT288719RL",5
"LT280646RU",4
"LT012933RL",5
"LT032411RU",4
"LT087826LL",8
"LT118064RL",7
"LT125521LL",1
"LT062141RL",4
"LT030151RU",4
"LT119682RL",4
"LT273284LL",6
"LT233821RL",2
